epoch,loss,lr,val_loss,val_map,val_mpre,val_mrec
0,71706.8125,0.001,220783.234375,nan,nan,nan
1,61080.76171875,0.001,217074.265625,nan,nan,nan
2,58363.2734375,0.001,213732.203125,nan,nan,nan
3,57113.625,0.001,210920.328125,nan,nan,nan
4,56083.97265625,0.001,207831.53125,nan,nan,nan
5,55115.71875,0.001,204628.625,nan,nan,nan
6,54177.546875,0.001,200988.21875,nan,nan,nan
7,53258.82421875,0.001,197581.53125,nan,nan,nan
8,52356.53515625,0.001,194383.171875,nan,nan,nan
9,51469.7109375,0.001,191170.25,nan,nan,nan
10,50597.28125,0.001,188182.15625,nan,nan,nan
11,49738.015625,0.001,185207.734375,nan,nan,nan
12,48893.02734375,0.001,181979.5625,nan,nan,nan
